Name,Specialization,Years of Experience,Age,Consultation fee,Phone Number
Dr. Kushi Singh,Cardiology,15,45,500,5551234567
Dr. Emily Adams,Cardiology,10,38,500,5552345678
Dr. Seema Chawla,Cardiology,22,50,500,3456834956
Dr. Anil Rajesh,Orthopedics,10,38,600,6784323567
Dr. Spoorthi Harish,Orthopedics,16,44,600,4686542345
Dr. Linda Green,Orthopedics,8,36,600,6789065421
Dr. Meher Elizabeth,Neurology,20,50,350,2435674312
Dr. Aishwarya Dinesh,Neurology,12,40,350,1356825432
Dr. Radhika Gopalan,Neurology,18,48,350,8954236487
Dr. Avantika Dinesh,General Surgery,12,42,750,7452351549
Dr. David Wilson,Plastic Surgery,8,35,800,7945248465
Dr. Hannah Clark,General Surgery,14,43,750,7942169424
Dr. Lisa Moore,Dermatology,18,48,250,7842488415
Dr. Steven Lee,Dermatology,11,41,250,9845124514
Dr. Sunil Kumar,Dermatology,9,39,250,5481548547
Dr. Mark Taylor,Internal Medicine,25,55,300,8456414698
Dr. Sanjay Gupta,Internal Medicine,15,43,300,7454845198
Dr. Andrew Thomas,Internal Medicine,18,47,300,4678941245
Dr. Amy Anderson,Pediatrics,7,32,200,7946852349
Dr. C. N. Manjunath,Pediatrics,5,29,200,7794547946
Dr. James Thomas,Oncology,22,52,600,7985642315
Dr. Victoria Lee,Oncology,19,50,600,9876542354
Dr. Patricia Martinez,Ophthalmology,14,47,350,7895146512
Dr. Karen Harris,Ophthalmology,16,49,350,9846572945
Dr. Richard Harris,ENT,17,49,550,9871642454
Dr. Samuel White,ENT,9,41,550,9456871463
Dr. Julia Clark,Gastroenterology,9,40,450,1597534862
Dr. Arun Saroha,Gastroenterology,12,45,450,7531598264
Dr. George Lewis,Anesthesiology,21,53,500,7945484585
Dr. Devi Shetty,Anesthesiology,18,46,500,9517538625
Dr. Randeep Guleria,Endocrinology,13,44,400,8624597536
Dr. Henry Walker,Rheumatology,19,51,450,9637412845
Dr. Elizabeth Green,Rheumatology,10,42,450,9874123655
Dr. Samantha Green,Obstetrics and Gynecology,16,46,300,9875641382
Dr. Kiran Coelho,Nephrology,11,43,350,9371826451
Dr. Veena Rathi,Urology,6,30,350,7039516824
Dr. Harsh Mahajan,Infectious Disease,23,54,400,9016542387
Dr. Padmavathi Krishnan,Family Medicine,14,46,200,9870685023
Dr. Sheela Mahajan,Thoracic Surgery,18,50,450,1964567825
Dr. Natalie Evans,Pathology,7,34,500,9977650432
Dr. Kevin Harris,Emergency Medicine,20,48,500,9921854670
